n_clusters_init,dip_merge_threshold,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,0.5,10,{'lr': 0.01},{'lr': 0.01},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
2,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
2,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.7354755611244245,0.7315839196931397,0.95220377790498,0.43076796677347307,1223.9204639150473,0.8398466144947639,0.5435235699116188
2,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.7101412479168988,0.6655040139269236,0.9456210646823126,0.4165555503592265,1235.3759419262722,0.9183772712068542,0.5212738990443201
2,0.5,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.6277925299471887,0.5568042468467646,0.9273039496279336,0.38706358994087753,1173.2745136817757,1.0865901167817384,0.47925080827199285
2,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
3,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.7396242341465551,0.7309217546211184,0.9524899828277046,0.43015113363180024,1231.801197769453,0.8450048570095511,0.5420039932148663
3,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.7113547316068393,0.6724559189161982,0.9461934745277619,0.41809095885559466,1238.9878556729382,0.909610440726957,0.52366701536221
3,0.5,10,{'lr': 0.001},{'lr': 0.01},42,0.7506045841147159,0.7545789454539874,0.953921007441328,0.4305022102284182,1248.353278742697,0.8452700589704157,0.5419260964749835
3,0.5,10,{'lr': 0.001},{'lr': 0.001},42,0.7506045841147159,0.7545789454539874,0.953921007441328,0.4305022102284182,1248.353278742697,0.8452700589704157,0.5419260964749835
3,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.7486070763344235,0.7484518620264856,0.9536348025186033,0.43050470238820726,1245.029366969637,0.8447709197012168,0.5420727253018289
3,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.6994179596017704,0.6480290105124809,0.9433314253005152,0.41371679724164356,1236.8050706780118,0.9360462122217119,0.5165165963949017
3,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 0.01},{'lr': 0.01},42,0.7446742691569874,0.7501669900254344,0.9533485975958786,0.4301494852395686,1244.8834659262968,0.8474469165856708,0.5412875417541814
5,0.5,10,{'lr': 0.01},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.7396242341465551,0.7309217546211184,0.9524899828277046,0.43015113363180024,1231.801197769453,0.8450048570095511,0.5420039932148663
5,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.7128509248188926,0.6701323162846863,0.9461934745277619,0.4174927734195753,1237.1370152805614,0.912716756913339,0.5228165625598207
5,0.5,10,{'lr': 0.001},{'lr': 0.01},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
5,0.5,10,{'lr': 0.001},{'lr': 0.001},42,0.7521331541612275,0.7525720323856195,0.953921007441328,0.43027445856291113,1249.4648271069711,0.8472320643550145,0.541350499104271
5,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43040043805586314,1240.9363358855476,0.8447017490474318,0.5420930513652847
5,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.6941246030505414,0.6398334005861519,0.9421866056096165,0.4119318249654478,1234.2000331723063,0.9464881801029931,0.5137457346116984
5,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.7506045841147159,0.7545789454539874,0.953921007441328,0.4302210242721873,1247.0075901391579,0.8455215313848055,0.5418522531404117
10,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.7396242341465551,0.7309217546211185,0.9524899828277046,0.43015113363180024,1231.801197769453,0.8450048570095511,0.5420039932148663
10,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.7099997075946533,0.6701252491905951,0.9459072696050372,0.4177599542667929,1238.577214887187,0.9123550976311336,0.5229154361753823
10,0.5,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.7390441961017302,0.7322864672160588,0.9524899828277046,0.4300916922203773,1225.5332771556007,0.8435159169022534,0.5424417499363646
10,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.6928082853763502,0.6378346005142573,0.9419004006868918,0.4115428414243081,1235.4600753341442,0.9476378950662864,0.5134424640910809
10,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 0.01},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 0.01},{'lr': 0.001},42,0.7490744894316465,0.7569849772071351,0.953921007441328,0.43045148133751027,1245.914072421373,0.8435448966178432,0.5424332229904432
20,0.5,10,{'lr': 0.01},{'lr': 0.0001},42,0.7396242341465551,0.7309217546211184,0.9524899828277046,0.43015113363180024,1231.801197769453,0.8450048570095511,0.5420039932148663
20,0.5,10,{'lr': 0.01},{'lr': 1e-05},42,0.7086475961592587,0.6678231935554091,0.9456210646823126,0.4173075657218417,1237.6700734194444,0.9152013235995888,0.5221383191822971
20,0.5,10,{'lr': 0.001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 0.001},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 0.001},{'lr': 0.0001},42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43020589265016734,1239.931788040335,0.8445646429777387,0.5421333450182958
20,0.5,10,{'lr': 0.001},{'lr': 1e-05},42,0.6928082853763502,0.6378346005142573,0.9419004006868918,0.41153882327985486,1234.3337738316884,0.948548153682237,0.5132026109338209
20,0.5,10,{'lr': 0.0001},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 0.0001},{'lr': 0.001},42,0.7457367299712184,0.7382066513663915,0.953062392673154,0.42983298252494273,1243.4777625130891,0.8507407400074345,0.540324194730799
20,0.5,10,{'lr': 0.0001},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 0.0001},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 1e-05},{'lr': 0.01},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 1e-05},{'lr': 0.001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 1e-05},{'lr': 0.0001},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.5,10,{'lr': 1e-05},{'lr': 1e-05},42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
