n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,initial_clustering_class,initial_clustering_params,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,10,{'lr': 0.01},{'lr': 0.01},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.664342542399089,0.7069218608614664,0.8765359859566998,0.06973845128612925,497.29743033058674,3.6617533261132182,0.21451156465066754
5,10,{'lr': 0.01},{'lr': 0.001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.33807127779574625,0.4353076441599582,0.6758338209479228,0.0314209801211887,447.0602518225591,2.4434318048269055,0.290407958304337
5,10,{'lr': 0.01},{'lr': 0.0001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},-0.01141675058131266,0.23116527069602938,0.556855861127365,0.06182908594488778,510.31762296646707,2.678774061665001,0.2718296865307905
5,10,{'lr': 0.01},{'lr': 1e-05},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.26055554641817147,0.4895194922621498,0.7216695923542032,0.09613799533817366,635.3440466166621,2.586242172475661,0.27884341098740645
5,10,{'lr': 0.001},{'lr': 0.01},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.7456379712082052,0.7094191070530906,0.8291398478642481,0.11391421252358098,512.5162496651407,1.8770707729702676,0.3475757389755161
5,10,{'lr': 0.001},{'lr': 0.001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.5954654197240782,0.7984903952621292,0.9128145114101814,0.13936024809902714,849.7607412787786,2.1587367867016285,0.31658225028752895
5,10,{'lr': 0.001},{'lr': 0.0001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.5234584347543635,0.5940015613352753,0.7411741759313438,0.17548984500057813,914.2680977325043,1.6499810361001321,0.3773611910339022
5,10,{'lr': 0.001},{'lr': 1e-05},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.42270623869048196,0.5749013875076929,0.7415642676028866,0.17939712114013376,755.4694229130967,1.8598408508251474,0.3496698075738973
5,10,{'lr': 0.0001},{'lr': 0.01},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.5764167685816876,0.6687052143562459,0.8346011312658475,0.11581346368177269,547.3209938211653,2.876374780062903,0.2579729919674518
5,10,{'lr': 0.0001},{'lr': 0.001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.6946634632161485,0.7599419486046073,0.8240686561341916,0.18756814339292938,797.0632901713674,1.593254824485761,0.385615786986263
5,10,{'lr': 0.0001},{'lr': 0.0001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,{'lr': 0.0001},{'lr': 1e-05},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.5811028828005328,0.5716650687890917,0.7232299590403745,0.09585744868890995,492.46319231919995,2.041148317973533,0.32882316001817014
5,10,{'lr': 1e-05},{'lr': 0.01},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.6580106723639894,0.708577630297245,0.8634679149600156,0.12091830493717996,566.1378768905902,2.8604259802923067,0.2590387706188531
5,10,{'lr': 1e-05},{'lr': 0.001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.8824690640327967,0.8347843546756506,0.8217281061049346,0.17432083751748698,1048.77085799128,1.8545696377999077,0.35031550352042784
5,10,{'lr': 1e-05},{'lr': 0.0001},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.29292330622415014,0.4634916525595819,0.6914374878096352,0.04116112931750593,249.76239136879653,1.6341888118215149,0.37962350895739705
5,10,{'lr': 1e-05},{'lr': 1e-05},42,<class 'sklearn.cluster._kmeans.KMeans'>,{},0.15328674715858992,0.30584529414468936,0.6052272283986737,0.0016059699722928717,279.46533312442705,3.2877561935926662,0.2332222157347315
